Location_ID,zero_row_window_pct,gap_count,max_gap_minutes,median_gap_minutes
1,0.0,0,0,0.0
2,2.272727272727273,2,15,15.0
3,0.0,0,0,0.0
4,0.0,0,0,0.0
5,1.1363636363636365,1,15,15.0
6,0.0,0,0,0.0
8,29.545454545454547,6,150,52.5
9,3.4090909090909087,3,15,15.0
10,13.636363636363635,7,60,15.0
11,14.772727272727273,7,60,15.0
12,20.454545454545457,6,90,30.0
14,18.181818181818183,5,75,45.0
17,1.1363636363636365,1,15,15.0
18,25.0,4,240,37.5
19,2.272727272727273,2,15,15.0
20,1.1363636363636365,1,15,15.0
21,1.1363636363636365,1,15,15.0
23,2.272727272727273,2,15,15.0
24,1.1363636363636365,1,15,15.0
25,1.1363636363636365,1,15,15.0
27,4.545454545454546,4,15,15.0
29,3.4090909090909087,2,30,22.5
30,1.1363636363636365,1,15,15.0
31,11.363636363636363,7,45,15.0
35,0.0,0,0,0.0
36,1.1363636363636365,1,15,15.0
37,21.59090909090909,7,165,15.0
39,13.636363636363635,5,75,15.0
40,2.272727272727273,1,30,30.0
41,4.545454545454546,2,45,30.0
42,13.636363636363635,7,45,15.0
43,7.954545454545454,5,30,15.0
44,10.227272727272728,4,90,15.0
45,1.1363636363636365,1,15,15.0
46,26.136363636363637,9,210,15.0
47,1.1363636363636365,1,15,15.0
48,1.1363636363636365,1,15,15.0
49,1.1363636363636365,1,15,15.0
50,21.59090909090909,5,105,45.0
51,4.545454545454546,1,60,60.0
52,6.8181818181818175,3,45,30.0
53,0.0,0,0,0.0
54,3.4090909090909087,3,15,15.0
56,3.4090909090909087,1,45,45.0
58,1.1363636363636365,1,15,15.0
59,1.1363636363636365,1,15,15.0
61,0.0,0,0,0.0
62,0.0,0,0,0.0
63,0.0,0,0,0.0
66,0.0,0,0,0.0
67,1.1363636363636365,1,15,15.0
68,10.227272727272728,6,45,15.0
69,9.090909090909092,5,45,15.0
70,12.5,5,45,45.0
71,21.59090909090909,12,90,15.0
72,6.8181818181818175,3,45,30.0
75,15.909090909090908,5,105,30.0
76,21.59090909090909,7,75,30.0
77,4.545454545454546,4,15,15.0
79,0.0,0,0,0.0
84,1.1363636363636365,1,15,15.0
85,21.59090909090909,6,90,45.0
86,25.0,6,105,45.0
87,11.363636363636363,4,75,30.0
107,2.272727272727273,2,15,15.0
108,100.0,1,1320,1320.0
109,1.1363636363636365,1,15,15.0
117,5.681818181818182,3,45,15.0
118,29.545454545454547,6,255,22.5
123,47.72727272727273,2,420,315.0
124,76.13636363636364,11,510,45.0
130,34.090909090909086,6,345,15.0
131,1.1363636363636365,1,15,15.0
132,2.272727272727273,2,15,15.0
133,1.1363636363636365,1,15,15.0
134,1.1363636363636365,1,15,15.0
135,1.1363636363636365,1,15,15.0
136,37.5,8,135,52.5
137,38.63636363636363,10,105,45.0
138,64.77272727272727,8,450,22.5
139,19.318181818181817,7,75,30.0
140,47.72727272727273,3,420,195.0
141,1.1363636363636365,1,15,15.0
142,3.4090909090909087,3,15,15.0
143,1.1363636363636365,1,15,15.0
161,14.772727272727273,8,45,22.5
162,1.1363636363636365,1,15,15.0
164,5.681818181818182,4,30,15.0
165,17.045454545454543,9,105,15.0
166,19.318181818181817,9,60,30.0
167,10.227272727272728,8,30,15.0
179,11.363636363636363,6,45,15.0
180,35.22727272727273,8,195,45.0
181,0.0,0,0,0.0
182,1.1363636363636365,1,15,15.0
184,1.1363636363636365,1,15,15.0
185,1.1363636363636365,1,15,15.0
187,5.681818181818182,3,45,15.0
188,37.5,5,420,15.0
209,0.0,0,0,0.0
