Location_ID,Sensing_Date,HourDay,Day_Type,Total_of_Directions,Local,Network,MAX,MEAN,absolute_local_network_gap,MAX_differs_from_Local_level,MAX_differs_from_Network_level
124,2026-03-08,22,Weekend,1,100.0,0.64479226249285,100.0,50.32239613124643,99.35520773750714,False,True
124,2025-01-31,23,Weekday,1,100.0,1.2312419758802853,100.0,50.61562098794014,98.76875802411972,False,True
124,2025-05-10,1,Weekend,1,100.0,1.9161774298760599,100.0,50.95808871493803,98.08382257012394,False,True
124,2025-03-22,2,Weekend,1,100.0,2.8146349726158886,100.0,51.407317486307946,97.18536502738411,False,True
124,2025-01-12,0,Weekend,2,100.0,3.0954153813424106,100.0,51.5477076906712,96.9045846186576,False,True
138,2026-03-18,17,Weekday,41,99.9034749034749,3.020234376554386,99.9034749034749,51.46185464001464,96.88324052692052,False,True
138,2025-01-20,17,Weekday,41,99.9034749034749,3.020234376554386,99.9034749034749,51.46185464001464,96.88324052692052,False,True
138,2025-04-01,17,Weekday,38,99.61389961389962,2.849127554167247,99.61389961389962,51.231513584033436,96.76477205973237,False,True
138,2025-04-02,17,Weekday,36,99.42084942084942,2.735719543980422,99.42084942084942,51.07828448241492,96.685129876869,False,True
124,2025-04-25,8,Weekday,24,99.41002949852508,2.847052754796341,99.41002949852508,51.12854112666071,96.56297674372874,False,True
124,2025-01-01,8,Weekday,21,99.11504424778761,2.5772275459794063,99.11504424778761,50.84613589688351,96.5378167018082,False,True
138,2025-03-26,17,Weekday,34,99.13127413127413,2.6491713256799505,99.13127413127413,50.890222728477035,96.48210280559418,False,True
138,2026-02-19,17,Weekday,34,99.13127413127413,2.6491713256799505,99.13127413127413,50.890222728477035,96.48210280559418,False,True
138,2025-01-15,8,Weekday,27,99.51923076923077,3.116877963613277,99.51923076923077,51.318054366422025,96.4023528056175,False,True
138,2025-10-29,8,Weekday,27,99.51923076923077,3.116877963613277,99.51923076923077,51.318054366422025,96.4023528056175,False,True
124,2025-05-22,8,Weekday,19,98.82005899705014,2.4194988393548003,98.82005899705014,50.61977891820247,96.40056015769534,False,True
124,2025-01-08,12,Weekday,36,99.36386768447836,3.0324316837168808,99.36386768447836,51.19814968409762,96.33143600076149,False,True
124,2025-01-20,12,Weekday,36,99.36386768447836,3.0324316837168808,99.36386768447836,51.19814968409762,96.33143600076149,False,True
138,2025-01-14,8,Weekday,24,99.13461538461539,2.847052754796341,99.13461538461539,50.99083406970586,96.28756262981905,False,True
138,2025-08-08,8,Weekday,24,99.13461538461539,2.847052754796341,99.13461538461539,50.99083406970586,96.28756262981905,False,True
124,2025-09-26,8,Weekday,17,98.52507374631269,2.2677221593952743,98.52507374631269,50.39639795285398,96.25735158691741,False,True
138,2026-04-16,17,Weekday,33,98.84169884169884,2.596446549014146,98.84169884169884,50.719072695356495,96.2452522926847,False,True
124,2025-01-01,1,Weekday,1,100.0,3.842190317820924,100.0,51.92109515891046,96.15780968217908,False,True
138,2026-03-20,8,Weekday,23,98.84615384615385,2.7547963414876095,98.84615384615385,50.80047509382073,96.09135750466625,False,True
124,2025-11-12,17,Weekday,42,99.15492957746478,3.090865681144426,99.15492957746478,51.1228976293046,96.06406389632036,False,True
124,2025-08-13,8,Weekday,16,98.23008849557522,2.178441759419082,98.23008849557522,50.20426512749715,96.05164673615613,False,True
124,2025-02-04,9,Weekday,30,99.15014164305948,3.203030483330358,99.15014164305948,51.17658606319492,95.94711115972913,False,True
138,2025-12-26,8,Weekday,33,99.8076923076923,3.863857310080749,99.8076923076923,51.835774808886526,95.94383499761156,False,True
138,2025-12-10,17,Weekday,32,98.45559845559846,2.53775292970693,98.45559845559846,50.496675692652694,95.91784552589154,False,True
138,2025-02-04,17,Weekday,32,98.45559845559846,2.53775292970693,98.45559845559846,50.496675692652694,95.91784552589154,False,True
138,2026-07-14,17,Weekday,32,98.45559845559846,2.53775292970693,98.45559845559846,50.496675692652694,95.91784552589154,False,True
124,2025-01-14,17,Weekday,40,98.87323943661971,2.957561528819562,98.87323943661971,50.91540048271964,95.91567790780014,False,True
124,2025-02-13,12,Weekday,35,98.85496183206108,2.955260502206304,98.85496183206108,50.90511116713369,95.89970132985478,False,True
124,2025-02-25,12,Weekday,35,98.85496183206108,2.955260502206304,98.85496183206108,50.90511116713369,95.89970132985478,False,True
138,2025-07-16,8,Weekday,22,98.5576923076923,2.6655159415114182,98.5576923076923,50.61160412460186,95.89217636618089,False,True
138,2025-08-13,8,Weekday,22,98.5576923076923,2.6655159415114182,98.5576923076923,50.61160412460186,95.89217636618089,False,True
124,2025-01-14,12,Weekday,50,100.0,4.150424441498308,100.0,52.07521222074915,95.8495755585017,False,True
124,2025-08-07,17,Weekday,37,98.59154929577466,2.7914287419669326,98.59154929577466,50.6914890188708,95.80012055380772,False,True
138,2026-03-05,7,Weekday,17,99.70530451866405,3.9338337503475116,99.70530451866405,51.819569134505784,95.77147076831653,False,True
138,2025-03-19,7,Weekday,17,99.70530451866405,3.9338337503475116,99.70530451866405,51.819569134505784,95.77147076831653,False,True
124,2025-08-22,9,Weekday,23,98.30028328611898,2.531683227226751,98.30028328611898,50.41598325667287,95.76860005889223,False,True
124,2025-10-31,9,Weekday,28,98.72521246458923,2.987842367267607,98.72521246458923,50.85652741592842,95.73737009732163,False,True
124,2025-04-16,9,Weekday,28,98.72521246458923,2.987842367267607,98.72521246458923,50.85652741592842,95.73737009732163,False,True
124,2025-01-23,14,Weekday,27,99.21671018276761,3.501311501470471,99.21671018276761,51.35901084211904,95.71539868129715,False,True
138,2024-11-04,15,Weekday,31,99.52015355086372,3.8185612082670906,99.52015355086372,51.669357379565405,95.70159234259664,False,True
138,2025-08-08,15,Weekday,31,99.52015355086372,3.8185612082670906,99.52015355086372,51.669357379565405,95.70159234259664,False,True
124,2025-01-07,12,Weekday,49,99.74554707379136,4.084136375328967,99.74554707379136,51.91484172456016,95.66141069846239,False,True
138,2025-09-18,9,Weekday,26,98.45857418111753,2.806370361555701,98.45857418111753,50.63247227133662,95.65220381956182,False,True
138,2025-05-05,9,Weekday,30,98.84393063583815,3.203030483330358,98.84393063583815,51.02348055958425,95.6409001525078,False,True
138,2025-09-15,9,Weekday,23,98.16955684007708,2.531683227226751,98.16955684007708,50.350620033651914,95.63787361285033,False,True
138,2024-10-11,9,Weekday,23,98.16955684007708,2.531683227226751,98.16955684007708,50.350620033651914,95.63787361285033,False,True
138,2025-07-02,9,Weekday,35,99.42196531791907,3.789095813252415,99.42196531791907,51.605530565585745,95.63286950466666,False,True
124,2024-12-27,9,Weekday,21,98.01699716713881,2.41962674282541,98.01699716713881,50.21831195498211,95.5973704243134,False,True
138,2025-01-16,8,Weekday,21,98.17307692307692,2.5772275459794063,98.17307692307692,50.375152234528166,95.59584937709751,False,True
138,2026-03-06,8,Weekday,21,98.17307692307692,2.5772275459794063,98.17307692307692,50.375152234528166,95.59584937709751,False,True
124,2025-04-25,12,Weekday,34,98.47328244274809,2.88303619130538,98.47328244274809,50.67815931702673,95.59024625144271,False,True
124,2025-01-07,17,Weekday,36,98.30985915492958,2.735719543980422,98.30985915492958,50.522789349455,95.57413961094916,False,True
138,2025-11-18,9,Weekday,34,99.22928709055877,3.6641478748933975,99.22928709055877,51.446717482726086,95.56513921566537,False,True
138,2026-06-24,9,Weekday,29,98.65125240847784,3.089982348624581,98.65125240847784,50.870617378551216,95.56127005985326,False,True
124,2026-01-14,14,Weekday,26,98.9556135770235,3.3969875208647964,98.9556135770235,51.17630054894415,95.5586260561587,False,True
140,2024-10-24,22,Weekday,2,97.5,1.958134990749787,97.5,49.72906749537489,95.54186500925022,False,True
140,2026-03-18,22,Weekday,2,97.5,1.958134990749787,97.5,49.72906749537489,95.54186500925022,False,True
124,2025-02-20,15,Weekday,36,99.86737400530504,4.330286168521463,99.86737400530504,52.09883008691325,95.53708783678357,False,True
124,2026-03-09,15,Weekday,36,99.86737400530504,4.330286168521463,99.86737400530504,52.09883008691325,95.53708783678357,False,True
138,2025-02-26,7,Weekday,19,100.0,4.485881091385679,100.0,52.24294054569284,95.51411890861432,False,True
138,2025-05-16,9,Weekday,33,99.03660886319847,3.5451498383610005,99.03660886319847,51.29087935077973,95.49145902483747,False,True
124,2025-01-24,17,Weekday,32,98.02816901408451,2.53775292970693,98.02816901408451,50.28296097189572,95.49041608437759,False,True
124,2025-01-07,16,Weekday,36,98.93617021276596,3.457631835258105,98.93617021276596,51.19690102401203,95.47853837750786,False,True
138,2026-01-22,7,Weekday,16,99.11591355599214,3.6637674252353154,99.11591355599214,51.38984049061373,95.45214613075682,False,True
138,2024-09-11,7,Weekday,16,99.11591355599214,3.6637674252353154,99.11591355599214,51.38984049061373,95.45214613075682,False,True
138,2024-12-04,7,Weekday,16,99.11591355599214,3.6637674252353154,99.11591355599214,51.38984049061373,95.45214613075682,False,True
138,2025-08-29,7,Weekday,16,99.11591355599214,3.6637674252353154,99.11591355599214,51.38984049061373,95.45214613075682,False,True
124,2025-01-06,15,Weekday,28,98.93899204244032,3.509538950715421,98.93899204244032,51.22426549657787,95.4294530917249,False,True
124,2025-01-08,15,Weekday,28,98.93899204244032,3.509538950715421,98.93899204244032,51.22426549657787,95.4294530917249,False,True
124,2025-08-08,15,Weekday,28,98.93899204244032,3.509538950715421,98.93899204244032,51.22426549657787,95.4294530917249,False,True
124,2025-01-09,8,Weekday,15,97.49262536873157,2.071305279447652,97.49262536873157,49.78196532408961,95.42132008928391,False,True
124,2026-03-18,8,Weekday,15,97.49262536873157,2.071305279447652,97.49262536873157,49.78196532408961,95.42132008928391,False,True
124,2025-02-18,8,Weekday,15,97.49262536873157,2.071305279447652,97.49262536873157,49.78196532408961,95.42132008928391,False,True
124,2025-01-20,8,Weekday,15,97.49262536873157,2.071305279447652,97.49262536873157,49.78196532408961,95.42132008928391,False,True
124,2025-03-05,12,Weekday,33,98.21882951653944,2.807843758038665,98.21882951653944,50.51333663728906,95.41098575850077,False,True
124,2025-08-20,14,Weekday,25,98.69451697127938,3.295644225419283,98.69451697127938,50.99508059834933,95.3988727458601,False,True
138,2026-02-16,17,Weekday,31,97.87644787644788,2.4850281530411253,97.87644787644788,50.180738014744506,95.39141972340676,False,True
138,2025-01-14,17,Weekday,31,97.87644787644788,2.4850281530411253,97.87644787644788,50.180738014744506,95.39141972340676,False,True
138,2026-03-23,17,Weekday,31,97.87644787644788,2.4850281530411253,97.87644787644788,50.180738014744506,95.39141972340676,False,True
124,2025-06-23,15,Weekday,34,99.46949602122017,4.134538950715421,99.46949602122017,51.802017485967795,95.33495707050474,False,True
138,2026-01-01,15,Weekday,30,99.04030710172745,3.71422893481717,99.04030710172745,51.37726801827231,95.32607816691028,False,True
138,2025-03-07,15,Weekday,30,99.04030710172745,3.71422893481717,99.04030710172745,51.37726801827231,95.32607816691028,False,True
138,2026-04-08,15,Weekday,30,99.04030710172745,3.71422893481717,99.04030710172745,51.37726801827231,95.32607816691028,False,True
124,2025-01-09,15,Weekday,24,98.40848806366049,3.0892289348171698,98.40848806366049,50.74885849923883,95.31925912884331,False,True
124,2025-01-01,11,Weekday,37,99.32432432432432,4.010891089108911,99.32432432432432,51.667607706716616,95.31343323521541,False,True
124,2025-02-20,11,Weekday,37,99.32432432432432,4.010891089108911,99.32432432432432,51.667607706716616,95.31343323521541,False,True
124,2026-01-06,9,Weekday,19,97.59206798866855,2.285753951726463,97.59206798866855,49.938910970197504,95.30631403694208,False,True
124,2025-01-17,9,Weekday,19,97.59206798866855,2.285753951726463,97.59206798866855,49.938910970197504,95.30631403694208,False,True
138,2025-01-29,7,Weekday,13,98.23182711198429,2.944914412804321,98.23182711198429,50.588370762394305,95.28691269917996,False,True
138,2025-11-28,7,Weekday,13,98.23182711198429,2.944914412804321,98.23182711198429,50.588370762394305,95.28691269917996,False,True
138,2026-02-17,7,Weekday,13,98.23182711198429,2.944914412804321,98.23182711198429,50.588370762394305,95.28691269917996,False,True
138,2024-09-12,9,Weekday,21,97.6878612716763,2.41962674282541,97.6878612716763,50.053744007250856,95.26823452885088,False,True
138,2025-12-26,9,Weekday,21,97.6878612716763,2.41962674282541,97.6878612716763,50.053744007250856,95.26823452885088,False,True
138,2025-07-24,9,Weekday,21,97.6878612716763,2.41962674282541,97.6878612716763,50.053744007250856,95.26823452885088,False,True
124,2026-01-13,17,Weekday,31,97.74647887323944,2.4850281530411253,97.74647887323944,50.115753513140284,95.26145072019831,False,True
124,2025-01-13,17,Weekday,57,99.43661971830986,4.190127534271105,99.43661971830986,51.81337362629048,95.24649218403876,False,True
124,2025-01-24,14,Weekday,24,98.43342036553526,3.1962880534138782,98.43342036553526,50.81485420947457,95.23713231212137,False,True
138,2025-01-16,7,Weekday,15,98.62475442043221,3.3887366456173798,98.62475442043221,51.0067455330248,95.23601777481483,False,True
138,2025-07-16,16,Weekday,38,98.84615384615385,3.661372716611342,98.84615384615385,51.2537632813826,95.18478112954251,False,True
124,2026-01-13,16,Weekday,35,98.5372340425532,3.3661969031386034,98.5372340425532,50.9517154728459,95.1710371394146,False,True
124,2026-01-22,16,Weekday,35,98.5372340425532,3.3661969031386034,98.5372340425532,50.9517154728459,95.1710371394146,False,True
124,2025-01-24,15,Weekday,23,98.14323607427056,2.9968203497615264,98.14323607427056,50.57002821201604,95.14641572450904,False,True
124,2025-01-02,7,Weekday,18,99.34426229508196,4.2068787481631515,99.34426229508196,51.775570521622555,95.13738354691881,False,True
138,2025-04-19,16,Weekend,42,100.0,4.877987923549079,100.0,52.43899396177454,95.12201207645091,False,True
124,2025-10-02,12,Weekday,32,97.83715012722645,2.7207788353087836,97.83715012722645,50.278964481267614,95.11637129191767,False,True
124,2025-08-20,12,Weekday,32,97.83715012722645,2.7207788353087836,97.83715012722645,50.278964481267614,95.11637129191767,False,True
138,2026-03-05,16,Weekday,42,99.13461538461539,4.032081734878451,99.13461538461539,51.583348559746916,95.10253364973694,False,True
