Location_ID,total_15m_windows,windows_with_records,zero_row_windows,median_observed_rows,p10_observed_rows,p90_observed_rows,zero_row_window_pct,max_consecutive_zero_row_15m_windows,max_gap_minutes
142,88,85,3,3.0,1.0,3.0,3.409090909090909,1,15
143,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
161,88,75,13,3.0,0.0,3.0,14.772727272727273,3,45
162,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
164,88,83,5,3.0,1.0,3.0,5.681818181818182,2,30
165,88,73,15,3.0,0.0,3.0,17.045454545454547,7,105
166,88,71,17,3.0,0.0,3.0,19.318181818181817,4,60
167,88,79,9,3.0,0.7000000000000011,3.0,10.227272727272727,2,30
179,88,78,10,3.0,0.0,3.0,11.363636363636363,3,45
180,88,57,31,4.5,0.0,13.0,35.22727272727273,13,195
181,88,88,0,15.0,10.0,15.0,0.0,0,0
182,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
184,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
185,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
187,88,83,5,9.0,1.0,15.0,5.681818181818182,3,45
188,88,55,33,2.0,0.0,3.0,37.5,28,420
209,88,88,0,15.0,4.0,15.0,0.0,0,0
