Theme,Sub Theme,Feature Name,Co-ordinates,Latitude,Longitude,Nearest_Outdoor_Sensor_ID,Nearest_Outdoor_Sensor_Distance_m,Coverage_Status
Transport,Transport Terminal,Port of Melbourne,"-37.8137384362671, 144.91753432375",-37.8137384362671,144.91753432375,11,1962.69833766606,NO_DATA
Place Of Assembly,Theatre Live,FairFax Studio,"-37.8216684581887, 144.968836241692",-37.8216684581887,144.968836241692,29,187.79715048486523,SUPPORTED
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,"-37.8093444587231, 144.982336768182",-37.8093444587231,144.982336768182,40,886.7891740384786,NO_DATA
Transport,Railway Station,Melbourne Central Railway Station,"-37.8105992402369, 144.96169061383",-37.8105992402369,144.96169061383,181,60.549912823964675,SUPPORTED
Transport,Railway Station,Melbourne Central Railway Station,"-37.8108930047401, 144.963100728702",-37.8108930047401,144.963100728702,3,105.77842976334334,SUPPORTED
Place of Worship,Church,Collins Street Baptist Church,"-37.8147011904647, 144.968072486031",-37.8147011904647,144.968072486031,4,175.47085391255865,SUPPORTED
Place of Worship,Church,St Thomas Aquinas Church,"-37.8353076902578, 144.976809080472",-37.8353076902578,144.976809080472,140,1678.0468165280024,NO_DATA
Community Use,Visitor Centre,Melbourne Visitor Booth,"-37.8139525061193, 144.964425882562",-37.8139525061193,144.964425882562,2,67.10763829393532,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,"-37.8116929882498, 144.987275671763",-37.8116929882498,144.987275671763,75,1171.7251994167418,NO_DATA
Education Centre,Primary Schools,Carlton Primary School,"-37.7959079757171, 144.970147317976",-37.7959079757171,144.970147317976,50,353.60632621831996,NO_DATA
Place Of Assembly,Theatre Live,State Theatre,"-37.8212806349773, 144.968469643744",-37.8212806349773,144.968469643744,29,146.21592340378464,SUPPORTED
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),"-37.8241137662047, 144.96933253996",-37.8241137662047,144.96933253996,29,462.5170452722981,NO_DATA
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,"-37.8352429531289, 144.98114217385",-37.8352429531289,144.98114217385,136,1985.6853172532253,NO_DATA
Office,Office,Australian Broadcasting Corporation (ABC),"-37.823813323734, 144.966551401578",-37.823813323734,144.966551401578,179,312.455579267863,NO_DATA
Place Of Assembly,Cinema,IMAX Melbourne,"-37.8034315561903, 144.970639929886",-37.8034315561903,144.970639929886,31,404.8111487883641,NO_DATA
Transport,Railway Station,Richmond Railway Station (Richmond) - Train stop,"-37.8238992659834, 144.989400751664",-37.8238992659834,144.989400751664,136,1517.6619571594952,NO_DATA
Office,Office,Victorian Insitute of Forensic Medicine,"-37.8246924089335, 144.964979061564",-37.8246924089335,144.964979061564,179,193.95236084830384,SUPPORTED
Transport,Railway Station,Parliament Railway Station,"-37.8121572789173, 144.973742010011",-37.8121572789173,144.973742010011,18,155.8081418535349,SUPPORTED
Transport,Railway Station,Showgrounds Railway Station (Flemington),"-37.7834651216244, 144.914902626775",-37.7834651216244,144.914902626775,85,1776.6616221680365,NO_DATA
Health Services,Public Hospital,Alfred Hospital,"-37.8462631206461, 144.981786260765",-37.8462631206461,144.981786260765,140,2860.825989925456,NO_DATA
Place Of Assembly,Theatre Live,Comedy Theatre,"-37.8102053945163, 144.97013311862",-37.8102053945163,144.97013311862,40,189.7093841320592,SUPPORTED
Place Of Assembly,Theatre Live,La Mama Theatre,"-37.7991304956733, 144.967669503083",-37.7991304956733,144.967669503083,50,123.38483138941272,SUPPORTED
Place Of Assembly,Theatre Live,Forum Theatre,"-37.816485409696, 144.969386556998",-37.816485409696,144.969386556998,72,104.06201103715212,SUPPORTED
Health Services,Public Hospital,Royal Dental Hospital,"-37.7995065904416, 144.964526842767",-37.7995065904416,144.964526842767,42,86.8131176999461,SUPPORTED
Transport,Bridge,Webb Bridge,"-37.8232052384507, 144.947291011905",-37.8232052384507,144.947291011905,8,31.681777040727557,SUPPORTED
Retail,Department Store,David Jones,"-37.8133127260638, 144.964373486798",-37.8133127260638,144.964373486798,1,71.41396739993164,SUPPORTED
