Theme,Sub Theme,Feature Name,Co-ordinates,Latitude,Longitude,Nearest_Outdoor_Sensor_ID,Nearest_Outdoor_Sensor_Distance_m,Coverage_Status
Transport,Railway Station,Parliament Railway Station,"-37.8127621113552, 144.973433796529",-37.8127621113552,144.973433796529,18,83.32541201959862,SUPPORTED
Transport,Railway Station,Flemington Racecourse Railway Station,"-37.7869105822519, 144.908190706069",-37.7869105822519,144.908190706069,85,2064.745037396374,NO_DATA
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,"-37.7934377042609, 144.971696548624",-37.7934377042609,144.971696548624,50,649.6778240098754,NO_DATA
Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,"-37.8097374138234, 144.981383411592",-37.8097374138234,144.981383411592,40,800.6002216310874,NO_DATA
Place of Worship,Church,St James Church,"-37.8101281201969, 144.952468571683",-37.8101281201969,144.952468571683,165,278.41061324429444,LIMITED
Place of Worship,Church,St Michael's Uniting Church,"-37.8143851324913, 144.969174036096",-37.8143851324913,144.969174036096,39,94.8984245480138,SUPPORTED
Place of Worship,Synagogue,East Melbourne Synagogue,"-37.809113728917, 144.97422190954",-37.809113728917,144.97422190954,40,196.9649117858823,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"-37.7908082646624, 144.912142987372",-37.7908082646624,144.912142987372,85,1594.3805238010673,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,"-37.8143993575938, 144.975952335785",-37.8143993575938,144.975952335785,75,139.9166072432195,SUPPORTED
Community Use,Government Building,Melbourne Magistrates Court,"-37.8136147671606, 144.956846193891",-37.8136147671606,144.956846193891,108,73.18425436070972,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"-37.8194921618419, 144.983402879078",-37.8194921618419,144.983402879078,136,871.1913528521088,NO_DATA
Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,"-37.8310746380616, 144.913822928701",-37.8310746380616,144.913822928701,130,2683.810892026463,NO_DATA
Place of Worship,Church,St Patricks Cathedral,"-37.8101140950474, 144.975901529712",-37.8101140950474,144.975901529712,40,318.79456601532394,NO_DATA
Office,Office,Parliament House,"-37.811246655376, 144.97372641185",-37.811246655376,144.97372641185,40,188.83245002784957,SUPPORTED
Office,Office,Former Royal Mint,"-37.8121838748712, 144.957055454136",-37.8121838748712,144.957055454136,107,33.81305092581526,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,"-37.8216381244891, 144.971049530478",-37.8216381244891,144.971049530478,29,274.74124916021384,LIMITED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,"-37.8152178789077, 144.941617889032",-37.8152178789077,144.941617889032,12,134.8932672191316,SUPPORTED
Purpose Built,Film & RV Studio,Central City Studios,"-37.8142318521296, 144.935655305362",-37.8142318521296,144.935655305362,11,392.9723196818182,NO_DATA
Transport,Marina,New Quay Marina,"-37.8152925454954, 144.942283726231",-37.8152925454954,144.942283726231,12,97.17477505822022,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,"-37.8220456119807, 144.978487173787",-37.8220456119807,144.978487173787,136,590.6887068008591,NO_DATA
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,"-37.8209085970021, 144.978735802793",-37.8209085970021,144.978735802793,136,531.1317154436067,NO_DATA
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,"-37.823110002667, 144.981834802535",-37.823110002667,144.981834802535,136,893.5844924278807,NO_DATA
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,"-37.8035518129299, 144.971690718887",-37.8035518129299,144.971690718887,37,492.58815367532117,NO_DATA
Community Use,Public Buildings,Elisabeth Murdoch Hall,"-37.8239733704282, 144.967450979234",-37.8239733704282,144.967450979234,179,391.2646668041347,NO_DATA
Community Use,Public Buildings,Melbourne Recital Centre,"-37.8238327885805, 144.967682729667",-37.8238327885805,144.967682729667,179,411.70614626923697,NO_DATA
Place Of Assembly,Theatre Live,Hamer Hall,"-37.8199901009015, 144.967992144257",-37.8199901009015,144.967992144257,142,31.573295638516417,SUPPORTED
Transport,Railway Station,Royal Park Railway Station,"-37.7812684282825, 144.951667833921",-37.7812684282825,144.951667833921,44,2075.912155379889,NO_DATA
Transport,Railway Station,Flagstaff Railway Station,"-37.8116384403974, 144.9561186805",-37.8116384403974,144.9561186805,109,34.15512298037127,SUPPORTED
Place Of Assembly,Theatre Live,Athanaeum Theatre,"-37.814954347831, 144.96732254212",-37.814954347831,144.96732254212,4,108.77981434118013,SUPPORTED
Place Of Assembly,Theatre Live,Her Majesty's Theatre,"-37.8109975612842, 144.969520183129",-37.8109975612842,144.969520183129,20,138.32918472797374,SUPPORTED
Transport,Railway Station,Flinders Street Railway Station,"-37.8179063007545, 144.967064817875",-37.8179063007545,144.967064817875,79,78.97506473771331,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,"-37.8201763042794, 144.96298113724",-37.8201763042794,144.96298113724,14,8.959889448804287,SUPPORTED
Place Of Assembly,Art Gallery/Museum,The Museum Of Australian Chinese History,"-37.8107686127655, 144.96923385414",-37.8107686127655,144.96923385414,20,137.5837698475546,SUPPORTED
Place of Worship,Church,All Nations Uniting Church,"-37.7959155303946, 144.968981110942",-37.7959155303946,144.968981110942,50,286.7794626448965,LIMITED
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,"-37.7819171308558, 144.956309119368",-37.7819171308558,144.956309119368,44,1820.7771197124252,NO_DATA
Community Use,Public Buildings,Sidney Myer Music Bowl,"-37.8233471608733, 144.974686151365",-37.8233471608733,144.974686151365,136,557.0835982210798,NO_DATA
Vacant Land,Current Construction Site,Harbour Town,"-37.8139256326845, 144.938123825625",-37.8139256326845,144.938123825625,11,240.2481153741648,SUPPORTED
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"-37.8116163666726, 144.937588920436",-37.8116163666726,144.937588920436,11,488.51686506997567,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,"-37.81806108403, 144.97314667014",-37.81806108403,144.97314667014,136,54.62603066589069,SUPPORTED
Leisure/Recreation,Indoor Recreation Facility,Artplay,"-37.8184198800044, 144.971542586509",-37.8184198800044,144.971542586509,161,22.629322948737528,SUPPORTED
Transport,Railway Station,Parliament Railway Station,"-37.8095762219384, 144.972330132127",-37.8095762219384,144.972330132127,40,46.63353828320237,SUPPORTED
Place Of Assembly,Art Gallery/Museum,Immigration Museum,"-37.8191798798062, 144.960426777129",-37.8191798798062,144.960426777129,138,102.57748773633317,SUPPORTED
Place Of Assembly,Art Gallery/Museum,Fire Services Museum Victoria,"-37.8085761281612, 144.975373745366",-37.8085761281612,144.975373745366,40,314.4858496570537,NO_DATA
Leisure/Recreation,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),"-37.7999470049655, 144.943290801869",-37.7999470049655,144.943290801869,86,617.8029267747296,NO_DATA
Mixed Use,Retail/Residential,Eureka Tower,"-37.8215157539717, 144.964456721965",-37.8215157539717,144.964456721965,35,157.73871952844948,SUPPORTED
Place of Worship,Church,Welsh Presbyterian Church,"-37.8104478768313, 144.959873260087",-37.8104478768313,144.959873260087,181,142.41252472184223,SUPPORTED
Place of Worship,Church,Lutheran Trinity Church,"-37.8109757054396, 144.975729473552",-37.8109757054396,144.975729473552,40,322.4578346167212,NO_DATA
Place of Worship,Church,St Johns Lutheran Church,"-37.8209399677168, 144.967121099857",-37.8209399677168,144.967121099857,142,155.48889396300066,SUPPORTED
Community Use,Police Station,Victoria Police,"-37.8164849024046, 144.966486801188",-37.8164849024046,144.966486801188,41,42.45164577849053,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,"-37.7857860016289, 144.947580972027",-37.7857860016289,144.947580972027,180,1485.5923179736924,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,"-37.800410711209, 144.960398319302",-37.800410711209,144.960398319302,46,244.6057306575484,SUPPORTED
Community Use,Cemetery,Melbourne General Cemetery,"-37.7891890023616, 144.965785979892",-37.7891890023616,144.965785979892,44,875.4959689502826,NO_DATA
Education Centre,School - Primary and Secondary Education,Wesley College,"-37.8485201804496, 144.982227770988",-37.8485201804496,144.982227770988,140,3085.5193788788893,NO_DATA
Transport,Railway Station,Southern Cross Railway Station,"-37.8181633057171, 144.952944748845",-37.8181633057171,144.952944748845,135,99.91098510246202,SUPPORTED
Place Of Assembly,Theatre Live,Princess Theatre,"-37.8107257091302, 144.9723265962",-37.8107257091302,144.9723265962,40,81.54990608652533,SUPPORTED
Education Centre,Secondary Schools,University High School,"-37.7973136216903, 144.956034449946",-37.7973136216903,144.956034449946,43,721.2969552129908,NO_DATA
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,"-37.7844449253712, 144.951371205938",-37.7844449253712,144.951371205938,44,1805.1157995266358,NO_DATA
Place Of Assembly,Theatre Live,Malthouse Theatre,"-37.8271768001126, 144.966936821789",-37.8271768001126,144.966936821789,140,467.65290278222625,NO_DATA
