method,coverage,MAE,RMSE,Median_AE,evaluated_values,recommended_by_min_MAE
equal,0.9298376514781177,17.28801906254579,22.517892081322138,13.767272281626276,252980,True
gaussian150,0.9298376514781177,17.31554753973502,22.56705216016586,13.731228453883297,252980,False
idw1,0.9298376514781177,17.47192824020395,22.78929115984987,13.804545077040117,252980,False
idw2,0.9298376514781177,17.868059783082206,23.369336918852998,13.944150429113748,252980,False
nearest,0.9298376514781177,19.366905258198816,25.53589089203414,14.872509875491929,252980,False
