Location_ID,Window15,observed_rows,observed_total,first_record,last_record,zero_row_window
1,2026-08-08 13:45:00,15,637.0,2026-08-08 13:45:00,2026-08-08 13:59:00,False
1,2026-08-08 14:00:00,15,765.0,2026-08-08 14:00:00,2026-08-08 14:14:00,False
1,2026-08-08 14:15:00,15,800.0,2026-08-08 14:15:00,2026-08-08 14:29:00,False
1,2026-08-08 14:30:00,15,772.0,2026-08-08 14:30:00,2026-08-08 14:44:00,False
1,2026-08-08 14:45:00,15,764.0,2026-08-08 14:45:00,2026-08-08 14:59:00,False
1,2026-08-08 15:00:00,15,779.0,2026-08-08 15:00:00,2026-08-08 15:14:00,False
1,2026-08-08 15:15:00,15,782.0,2026-08-08 15:15:00,2026-08-08 15:29:00,False
1,2026-08-08 15:30:00,15,758.0,2026-08-08 15:30:00,2026-08-08 15:44:00,False
1,2026-08-08 15:45:00,15,682.0,2026-08-08 15:45:00,2026-08-08 15:59:00,False
1,2026-08-08 16:00:00,15,716.0,2026-08-08 16:00:00,2026-08-08 16:14:00,False
1,2026-08-08 16:15:00,15,739.0,2026-08-08 16:15:00,2026-08-08 16:29:00,False
1,2026-08-08 16:30:00,15,814.0,2026-08-08 16:30:00,2026-08-08 16:44:00,False
1,2026-08-08 16:45:00,15,741.0,2026-08-08 16:45:00,2026-08-08 16:59:00,False
1,2026-08-08 17:00:00,15,697.0,2026-08-08 17:00:00,2026-08-08 17:14:00,False
1,2026-08-08 17:15:00,15,675.0,2026-08-08 17:15:00,2026-08-08 17:29:00,False
1,2026-08-08 17:30:00,15,550.0,2026-08-08 17:30:00,2026-08-08 17:44:00,False
1,2026-08-08 17:45:00,15,535.0,2026-08-08 17:45:00,2026-08-08 17:59:00,False
1,2026-08-08 18:00:00,15,501.0,2026-08-08 18:00:00,2026-08-08 18:14:00,False
1,2026-08-08 18:15:00,15,476.0,2026-08-08 18:15:00,2026-08-08 18:29:00,False
1,2026-08-08 18:30:00,15,314.0,2026-08-08 18:30:00,2026-08-08 18:44:00,False
1,2026-08-08 18:45:00,15,345.0,2026-08-08 18:45:00,2026-08-08 18:59:00,False
1,2026-08-08 19:00:00,15,427.0,2026-08-08 19:00:00,2026-08-08 19:14:00,False
1,2026-08-08 19:15:00,15,266.0,2026-08-08 19:15:00,2026-08-08 19:29:00,False
1,2026-08-08 19:30:00,15,225.0,2026-08-08 19:30:00,2026-08-08 19:44:00,False
1,2026-08-08 19:45:00,15,182.0,2026-08-08 19:45:00,2026-08-08 19:59:00,False
1,2026-08-08 20:00:00,15,217.0,2026-08-08 20:00:00,2026-08-08 20:14:00,False
1,2026-08-08 20:15:00,15,206.0,2026-08-08 20:15:00,2026-08-08 20:29:00,False
1,2026-08-08 20:30:00,15,121.0,2026-08-08 20:30:00,2026-08-08 20:44:00,False
1,2026-08-08 20:45:00,15,143.0,2026-08-08 20:45:00,2026-08-08 20:59:00,False
1,2026-08-08 21:00:00,15,125.0,2026-08-08 21:00:00,2026-08-08 21:14:00,False
1,2026-08-08 21:15:00,15,115.0,2026-08-08 21:15:00,2026-08-08 21:29:00,False
1,2026-08-08 21:30:00,4,31.0,2026-08-08 21:30:00,2026-08-08 21:33:00,False
2,2026-08-07 23:45:00,5,18.0,2026-08-07 23:55:00,2026-08-07 23:59:00,False
2,2026-08-08 00:00:00,9,34.0,2026-08-08 00:00:00,2026-08-08 00:14:00,False
2,2026-08-08 00:15:00,11,31.0,2026-08-08 00:15:00,2026-08-08 00:28:00,False
2,2026-08-08 00:30:00,10,31.0,2026-08-08 00:30:00,2026-08-08 00:44:00,False
2,2026-08-08 00:45:00,11,29.0,2026-08-08 00:46:00,2026-08-08 00:59:00,False
2,2026-08-08 01:00:00,11,31.0,2026-08-08 01:01:00,2026-08-08 01:14:00,False
2,2026-08-08 01:15:00,11,31.0,2026-08-08 01:17:00,2026-08-08 01:29:00,False
2,2026-08-08 01:30:00,8,16.0,2026-08-08 01:30:00,2026-08-08 01:44:00,False
2,2026-08-08 01:45:00,5,8.0,2026-08-08 01:45:00,2026-08-08 01:58:00,False
2,2026-08-08 02:00:00,9,19.0,2026-08-08 02:00:00,2026-08-08 02:12:00,False
2,2026-08-08 02:15:00,10,26.0,2026-08-08 02:16:00,2026-08-08 02:28:00,False
2,2026-08-08 02:30:00,6,11.0,2026-08-08 02:31:00,2026-08-08 02:44:00,False
2,2026-08-08 02:45:00,5,10.0,2026-08-08 02:45:00,2026-08-08 02:59:00,False
2,2026-08-08 03:00:00,6,14.0,2026-08-08 03:03:00,2026-08-08 03:12:00,False
2,2026-08-08 03:15:00,3,3.0,2026-08-08 03:15:00,2026-08-08 03:29:00,False
2,2026-08-08 03:30:00,4,6.0,2026-08-08 03:30:00,2026-08-08 03:41:00,False
2,2026-08-08 03:45:00,1,1.0,2026-08-08 03:52:00,2026-08-08 03:52:00,False
2,2026-08-08 04:00:00,0,,,,True
2,2026-08-08 04:15:00,4,4.0,2026-08-08 04:17:00,2026-08-08 04:29:00,False
2,2026-08-08 04:30:00,2,5.0,2026-08-08 04:35:00,2026-08-08 04:36:00,False
2,2026-08-08 04:45:00,0,,,,True
2,2026-08-08 05:00:00,2,2.0,2026-08-08 05:00:00,2026-08-08 05:07:00,False
2,2026-08-08 05:15:00,1,1.0,2026-08-08 05:16:00,2026-08-08 05:16:00,False
2,2026-08-08 05:30:00,2,2.0,2026-08-08 05:30:00,2026-08-08 05:35:00,False
2,2026-08-08 05:45:00,3,4.0,2026-08-08 05:53:00,2026-08-08 05:59:00,False
2,2026-08-08 06:00:00,4,5.0,2026-08-08 06:00:00,2026-08-08 06:10:00,False
2,2026-08-08 06:15:00,1,2.0,2026-08-08 06:26:00,2026-08-08 06:26:00,False
2,2026-08-08 06:30:00,7,11.0,2026-08-08 06:31:00,2026-08-08 06:44:00,False
2,2026-08-08 06:45:00,2,3.0,2026-08-08 06:47:00,2026-08-08 06:53:00,False
2,2026-08-08 07:00:00,9,14.0,2026-08-08 07:00:00,2026-08-08 07:13:00,False
2,2026-08-08 07:15:00,9,18.0,2026-08-08 07:15:00,2026-08-08 07:26:00,False
2,2026-08-08 07:30:00,5,8.0,2026-08-08 07:31:00,2026-08-08 07:44:00,False
2,2026-08-08 07:45:00,10,24.0,2026-08-08 07:46:00,2026-08-08 07:59:00,False
2,2026-08-08 08:00:00,6,8.0,2026-08-08 08:00:00,2026-08-08 08:14:00,False
2,2026-08-08 08:15:00,15,40.0,2026-08-08 08:15:00,2026-08-08 08:29:00,False
2,2026-08-08 08:30:00,13,39.0,2026-08-08 08:30:00,2026-08-08 08:44:00,False
2,2026-08-08 08:45:00,15,47.0,2026-08-08 08:45:00,2026-08-08 08:59:00,False
2,2026-08-08 09:00:00,14,57.0,2026-08-08 09:00:00,2026-08-08 09:14:00,False
2,2026-08-08 09:15:00,15,74.0,2026-08-08 09:15:00,2026-08-08 09:29:00,False
2,2026-08-08 09:30:00,15,171.0,2026-08-08 09:30:00,2026-08-08 09:44:00,False
2,2026-08-08 09:45:00,15,136.0,2026-08-08 09:45:00,2026-08-08 09:59:00,False
2,2026-08-08 10:00:00,15,154.0,2026-08-08 10:00:00,2026-08-08 10:14:00,False
2,2026-08-08 10:15:00,15,201.0,2026-08-08 10:15:00,2026-08-08 10:29:00,False
2,2026-08-08 10:30:00,15,233.0,2026-08-08 10:30:00,2026-08-08 10:44:00,False
2,2026-08-08 10:45:00,15,223.0,2026-08-08 10:45:00,2026-08-08 10:59:00,False
2,2026-08-08 11:00:00,15,263.0,2026-08-08 11:00:00,2026-08-08 11:14:00,False
2,2026-08-08 11:15:00,15,273.0,2026-08-08 11:15:00,2026-08-08 11:29:00,False
2,2026-08-08 11:30:00,15,361.0,2026-08-08 11:30:00,2026-08-08 11:44:00,False
2,2026-08-08 11:45:00,15,320.0,2026-08-08 11:45:00,2026-08-08 11:59:00,False
2,2026-08-08 12:00:00,15,367.0,2026-08-08 12:00:00,2026-08-08 12:14:00,False
2,2026-08-08 12:15:00,15,446.0,2026-08-08 12:15:00,2026-08-08 12:29:00,False
