method,mean_score,median_score,very_low_pct,low_pct,moderate_pct,high_pct,very_high_pct
Local,50.152869303558916,50.0,24.901901637150957,25.113366711036754,24.925191287936272,14.9437796501721,10.115760713703915
Network,50.00148657345438,49.957062644500716,25.004784908306295,25.060035888360808,24.92735920755724,15.000269441438608,10.007550554337048
MAX,63.57796820364034,67.87897975740546,9.80977434434368,20.02922355649072,29.809885837352763,22.755908974629765,17.595207287183072
MEAN,50.07717793850665,50.271580656596264,16.71689013788588,32.85810470556245,33.88074336105586,12.362778430562464,4.181483364933343
